"dossier_folder","dossier_id","nom_societe","forme_juridique","capital_social_eur","rcs","adresse_siege","nom_commercial","activite","type_procedure","date_ouverture","tribunal","administrateur_judiciaire","cabinet_aj","adresse_aj","mandataire_judiciaire","cabinet_mj","juge_commissaire","dldo","effectif_total","nb_offres_recues","filiales","secteur","notes"
"25 - SAS ILO","25","ILO","SAS","736378","795282839","10, villa d'Eylau, 75116 Paris","Groupe NEOCAMP","Holding animatrice du Groupe Neocamp - exploitation et gestion de campings, résidences et villages de vacances, hôtellerie de plein air","Redressement judiciaire","2025-11-12","Tribunal des activités économiques de Paris","Maître Maxime LANGET ; Maître Lou FLECHARD","SELAS BL & ASSOCIES ; SCP CBF ASSOCIES","","Maître Florian LACOUR ; Maître Camille STEINER","SELAFA MJA ; SELARL ATHENA","Monsieur Franck MEYNAUD","2025-12-17","6","2","ALPHA CAMPING, ALPHA CAMPING OCCITANIE, LA GRANDE LISSE, LORMED, L'ESCAPADE, SCI C.H.A., HOLDING DES FLEURS (8,3%), HOLDING DU BIGOUDEN (10,5%), HOLDING DES CEVENNES (7,1%), OPTIMUM, 5C DEVELOPPEMENT (hors RJ), USV (hors RJ)","Hôtellerie de plein air / Camping","N° Greffe P202504394. Cessation des paiements 16/10/2025. BODACC 28/11/2025. Groupe NEOCAMP organisé en 3 pôles : Pôle Exploitation (ALPHA CAMPING + ALPHA CAMPING OCCITANIE - 24 campings sous marques Camping Paradis, Bel Air Village, Ushuaia) ; Pôle Franchise (OPTIMUM, 5C DEVELOPPEMENT, USV - plateforme Mistercamp.com) ; Pôle Foncier (LORMED, L'ESCAPADE, SCI CHA, SCI LA GRANDE LISSE + participations minoritaires dans HOLDING DES FLEURS, HOLDING DU BIGOUDEN, HOLDING DES CEVENNES). Actionnariat ILO : MBO CAPITAL 5 SLP 55,15% / MBDL 25,04% / WHCP 16,09% / autres minoritaires. DLDO 01/12/2025 pour Pôle Franchise (5C DEV + USV), 17/12/2025 pour Pôle Exploitation/Foncier (ILO + 6 autres). CA 2024 : 1.600.594€. Résultat net 2024 : -2.153.341€. RJ ouverts pour 7 sociétés du groupe."
"26 - SCI C.H.A","26","SCI C.H.A.","Societe civile immobiliere","1524.49","423331776","Route de Guissan, Narbonne Plage - 11100 Narbonne","Camping Soleil d'Oc (foncier)","Location de terrains et d'autres biens immobiliers (NAF 68.20B) - foncier camping","Redressement judiciaire","2025-11-12","Tribunal des Activites Economiques de Paris","Me Lou Flechard ; Me Maxime Langet","SCP CBF Associes ; SELAS BL & Associes","CBF : 41 rue de Liege, 75008 Paris ; BL : 3 bis rue des Archives, 94000 Creteil","Me Florian Lacour ; Me Camille Steiner","SELAFA MJA ; SELARL Athena","M. Franck Meynaud","2025-12-17","0 (societe non employeuse)","6","Aucune. Gerant : SAS ILO (795 282 839 RCS Paris) - tete de groupe NEOCAMP","Hotellerie de plein air / foncier camping","Filiale du Groupe NEOCAMP (Pole Foncier). Proprietaire d'un terrain de 46028 m2 (4 ha 60 a 28 ca) cadastre BV n64/76, BW n7, BV n5 a Narbonne Plage - 11100 Narbonne, avec superficie batie ~450 m2. Camping classe 4 etoiles (197 emplacements selon classement ATOUT France juin 2019) exploite sous la franchise Camping Paradis Soleil d'Oc. Loue a la SAS LORMED (autre filiale Neocamp) en vertu d'un bail commercial du 20/04/2017 (loyer annuel 69 480 EUR HT, echeance initiale 30/10/2025). CA stable 2022-2023 a 69 480 EUR, RN ~26-27k EUR. Cessation des paiements fixee au 20/10/2025. 7 procedures NEOCAMP simultanees : ILO, ALPHA CAMPING, ALPHA CAMPING OCCITANIE, LA GRANDE LISSE, LORMED, L'ESCAPADE, SCI C.H.A. Sept procedures jugement 12/11/2025. Greffe : P202504395. Sept nantissements/inscriptions sur biens : voir relevés hypothecaires. Deux credits Banque Courtois encore dus (28 866,38 EUR + 9 167,04 EUR au 01/01/2026 = 38 033,42 EUR)."
"27 - SCI LA GRANDE LISSE","27-GRANDE-LISSE","SCI LA GRANDE LISSE","SAS (anciennement SCI)","10000","824145163","Lieu-dit Les Roussilloux, 24520 Lamonzie-Montastruc","Camping L'Escapade / Camping Paradis l'Escapade","Foncière propriétaire d'une propriété à usage de camping (Camping L'Escapade) louée à la société L'ESCAPADE","Redressement judiciaire","2025-11-12","Tribunal des activités économiques de Paris","Me Lou Fléchard / Me Maxime Langet","SCP CBF Associés / SELAS BL & Associés","41 rue de Liège, 75008 Paris / 3 bis rue des Archives, 94000 Créteil","Me Florian Lacour / Me Camille Steiner","SELAFA MJA / SELARL ATHENA","M. Franck Meynaud","2025-12-17","0 (société non employeuse)","5","","Hôtellerie de plein air / camping","N° greffe P202504396. Société foncière du groupe Néocamp (filiale 100% de la SAS ILO 795282839). Pôle Foncier du groupe (avec LORMED, L'ESCAPADE, SCI CHA, HOLDING DES FLEURS, HOLDING DU BIGOUDEN, HOLDING DES CEVENNES). Bien loué à L'ESCAPADE SAS pour un loyer annuel de 120 000 EUR HT. Le bien immobilier a été acquis via un prêt LCL de 1 650 000 EUR sur 216 mois (capital restant dû ouverture procédure : 1 007 479,80 EUR ; mention DCP : 1 223 796 EUR ; privilège prêteur de deniers, art. L.642-12). Cadastre Section C : 14 parcelles n°252-291 + 1010, unité foncière totale 57 769 m². Date cessation paiements : 20/10/2025. Jugement publié BODACC le 28/11/2025. Audience d'examen des offres : 11/03/2026. CA 30/09/2024 : 120 000 EUR (produits d'exploitation). Dossier indivisible avec autres entités groupe Néocamp (ILO, ALPHA CAMPING, ALPHA CAMPING OCCITANIE, LORMED, L'ESCAPADE, SCI CHA). Note : un autre dossier numéroté 27 existe dans le portefeuille (SCI OKABE)."
"27 - SCI OKABE","OKABE","SCI OKABE","SCI","","","","","Société SCI - détention d'actifs immobiliers (à préciser via PDFs)","Redressement judiciaire","","Tribunal des Activités Économiques de Paris","Maître Hélène BOURBOULOUX (avec François RAYBAUD et Paul CHARREY)","SELARL FHBX","176 avenue Charles-de-Gaulle, 92200 Neuilly-sur-Seine","Maître Valérie LELOUP-THOMAS","SELAFA MJA","Monsieur Jean-François PONCET","2026-03-02","0","6","","Immobilier","SCI OKABE fait partie du dossier consolidé FHBX 'Foncière Melot Gouband / Affaire Balthazar' (26 entités). Bien immobilier rattaché : à compléter (cf. PDFs MUVICO non extraits >5MB pour description précise). MUVICO initiale : 600000€ ; MUVICO améliorée : 650000€. DLDO 02/03/2026 (DDO offres améliorées). 6 offres reçues. Voir CSV INSULA pour détail du portefeuille consolidé FHBX (26 entités)."
"28 - SAS à associé unique ALPHA CAMPING","28-ALPHA","ALPHA CAMPING","SAS à associé unique","168616","793853128","10 Villa d'Eylau, 75116 Paris","Néocamp (marques Camping Paradis / Bel Air Village / Ushuaïa)","Exploitation et gestion de campings, résidences et villages de vacances, hôtellerie de plein air","Redressement judiciaire","2025-11-12","Tribunal des Activités Économiques de Paris","Maître Maxime LANGET ; Maître Lou FLECHARD","SELAS BL & ASSOCIES ; SCP CBF ASSOCIES","BL & Associés: 1 Boulevard Saint-Germain, 75005 Paris (Me LANGET) / 3 bis rue des Archives, 94000 Créteil ; CBF Associés: 41 rue de Liège, 75008 Paris (Me FLECHARD)","Maître Florian LACOUR ; Maître Camille STEINER","SELAFA MJA ; SELARL ATHENA","Monsieur Franck MEYNAUD","2025-12-17","46 (dont 9 au siège)","9","ALPHA CAMPING OCCITANIE (100%) ; Groupe Néocamp: ILO (mère), 5C DEVELOPPEMENT, USV, OPTIMUM, LORMED, L'ESCAPADE, SCI CHA, SCI La Grande Lisse, Holding des Fleurs, Holding du Bigouden, Holding des Cévennes","Hôtellerie de plein air / Camping","Exploite 21 campings sous DSP, location-gérance ou baux commerciaux. Marques: Camping Paradis, Bel Air Village, Ushuaïa Villages. CA 30/09/2024: 14.440.357€. Résultat exploitation 2024: -4.172.062€. Résultat net 2024: -5.140.250€. Capital divisé en 168.116 actions (100.942 ordinaires + 67.674 préférence), détenu 100% par SAS ILO (RCS 795.282.839 Paris) également en RJ. Cessation paiements 20/10/2025. Jugement publié BODACC 28/11/2025. Greffe P202504397. Campings concernés par offres: Brabois (Villers-Lès-Nancy 54), Giessen (Bassemberg 67), La Presqu'île (Royère-de-Vassivière 23), Lac de Cazaux (33), Les 2 Iles / Paradis (Peyrat-le-Château 87), Le Plan d'Eau (Saint-Yrieix-sur-Charente 16), Pointe de Roscoff / Perharidy (29), Demeures du Lac + Chanterelles (Saint-Rémy-sur-Durolle 63), Albret (40), Pré du Verdon / Quinson (04), Escapade (Dordogne), Baie de Plomeur (56), Gorges du Haut Bugey (01), Pointe Roscoff, Baie de l'Aiguillon (85), Rives d'Olt et Aubrac (12), Sous le Moulin (39), etc."
"28 - SNC PRIMEL TREGASTEL LOCATIONS","PRIMEL_TREGASTEL","SNC PRIMEL TREGASTEL LOCATIONS","SNC","","","","","Société SNC - détention d'actifs immobiliers (à préciser via PDFs)","Redressement judiciaire","","Tribunal des Activités Économiques de Paris","Maître Hélène BOURBOULOUX (avec François RAYBAUD et Paul CHARREY)","SELARL FHBX","176 avenue Charles-de-Gaulle, 92200 Neuilly-sur-Seine","Maître Valérie LELOUP-THOMAS","SELAFA MJA","Monsieur Jean-François PONCET","2026-03-02","0","4","","Immobilier","SNC PRIMEL TREGASTEL LOCATIONS fait partie du dossier consolidé FHBX 'Foncière Melot Gouband / Affaire Balthazar' (26 entités). Bien immobilier rattaché : à compléter (cf. PDFs MUVICO non extraits >5MB pour description précise). MUVICO initiale : 450000€ ; MUVICO améliorée : 470000€. DLDO 02/03/2026 (DDO offres améliorées). 4 offres reçues. Voir CSV INSULA pour détail du portefeuille consolidé FHBX (26 entités)."
"29 - SAS à associé unique L'ESCAPADE","29","L'ESCAPADE","SAS","7500","450819008","Lieu-Dit Les Roussilloux, 24520 Lamonzie-Montastruc","L'Escapade","Exploitation et gestion de campings, hôtellerie de plein air — Camping 4 étoiles, 130 emplacements, 5 ha en Dordogne (parc aquatique, piscine couverte, ~100 mobil-homes)","Redressement judiciaire","2025-11-12","Tribunal des activités économiques de Paris","Maître Maxime LANGET ; Maître Lou FLECHARD","SELAS BL & Associés ; SCP CBF Associés","BL & Associés : 3 bis rue des Archives, 94000 Créteil — Maxime LANGET : 1 Boulevard Saint Germain, 75005 Paris ; CBF Associés : 41 rue de Liège, 75008 Paris","Maître Florian LACOUR ; Maître Camille STEINER","SELAFA MJA ; SELARL ATHENA","Monsieur Franck MEYNAUD","2025-12-17","0","4","Filiale de ILO SAS (RCS Paris 795 282 839) — société animatrice du Groupe NEOCAMP. Groupe NEOCAMP : Pôle Exploitation (ALPHA CAMPING, ALPHA CAMPING OCCITANIE — 24 campings sous marques Camping Paradis, Bel Air Village, Ushuaïa) + Pôle Franchise (OPTIMUM, 5C DEVELOPPEMENT, USV — Mistercamp.com) + Pôle Foncier (LORMED, L'ESCAPADE, SCI CHA, SCI LA GRANDE LISSE, HOLDING DES FLEURS, HOLDING DU BIGOUDEN, HOLDING DES CEVENNES). Camping exploité en location-gérance par ALPHA CAMPING. Bail commercial avec SCI LA GRANDE LISSE (propriétaire du terrain).","Hôtellerie de plein air — camping 4 étoiles","N° Greffe P202504398. Date de cessation des paiements : 20/10/2025. Jugement d'ouverture publié au BODACC le 28/11/2025. Immatriculée 17/11/2003. Date de clôture : 30/09. CA 30/09/2024 : 235 566€ (en chute vs 332 411€ au 30/09/2023 et 659 111€ au 31/12/2022). Résultat net 30/09/2024 : -138 648€. Difficultés : croissance non maîtrisée groupe NEOCAMP, allocation inadaptée ressources financières (mobil-homes/chalets hétérogènes, frais de siège disproportionnés), sous-performance saison 2024 (taux remplissage insuffisant). Nantissements fonds de commerce inscrits : 131 000€ (22/02/2024) + 250 000€ (17/01/2024) au profit Caisse d'Epargne Bretagne-Pays de Loire. Salariés : 0 (société non employeuse selon dataroom). DLDO Pôle Exploitation + Pôle Foncier (dont L'ESCAPADE) : 17/12/2025 12h. DLDO Pôle Franchise (5C DEVELOPPEMENT, USV) : 01/12/2025 12h."
"29 - SAS à associé unique L'ESCAPADE","## Related","","","","","","","","","","","","","","","","","","","","","",""
"29 - SAS à associé unique L'ESCAPADE","- [[brantham/_MOC]]","","","","","","","","","","","","","","","","","","","","","",""
"29 - SAS à associé unique L'ESCAPADE","- [[_system/MOC-deals]]","","","","","","","","","","","","","","","","","","","","","",""
"29 - SCI RHEA","RHEA","SCI RHEA","SCI","","","","","Société SCI - détention d'actifs immobiliers (à préciser via PDFs)","Redressement judiciaire","","Tribunal des Activités Économiques de Paris","Maître Hélène BOURBOULOUX (avec François RAYBAUD et Paul CHARREY)","SELARL FHBX","176 avenue Charles-de-Gaulle, 92200 Neuilly-sur-Seine","Maître Valérie LELOUP-THOMAS","SELAFA MJA","Monsieur Jean-François PONCET","2026-03-02","0","6","","Immobilier","SCI RHEA fait partie du dossier consolidé FHBX 'Foncière Melot Gouband / Affaire Balthazar' (26 entités). Bien immobilier rattaché : à compléter (cf. PDFs MUVICO non extraits >5MB pour description précise). MUVICO initiale : 9000€ ; MUVICO améliorée : 9500€. DLDO 02/03/2026 (DDO offres améliorées). 6 offres reçues. Voir CSV INSULA pour détail du portefeuille consolidé FHBX (26 entités)."
"30 - SAS à associé unique LORMED","30-LORMED","LORMED","SAS à associé unique","15000.98","422924886","Route de Guissan, Narbonne Plage – 11100 Narbonne","Camping Soleil d'Oc","Exploitation et location de camping, caravaning, magasin d'alimentation, restaurant, buvette, achat et vente de mobil-home, caravanes neufs ou d'occasions (NAF 68.20B)","Redressement judiciaire","2025-11-12","Tribunal des activités économiques de Paris","Maître Lou FLECHARD ; Maître Maxime LANGET","SCP CBF ASSOCIÉS ; SELAS BL & ASSOCIÉS","CBF: 41 rue de Liège 75008 Paris ; BL: 3 bis rue des Archives 94000 Créteil","Maître Florian LACOUR ; Maître Camille STEINER","SELAFA MJA ; SELARL ATHENA","Franck MEYNAUD","2025-12-17","0","5","Filiale de SAS ILO (795 282 839 RCS Paris) — Groupe NEOCAMP (Pôle Foncier)","Hôtellerie de plein air / camping","Capital divisé en 984 actions de 15,24€. Camping ""Soleil d'Oc"" à Narbonne Plage exploité sous franchise ""Camping Paradis"" — fonds de commerce en location-gérance à ALPHA CAMPING OCCITANIE. 46028 m² dont 450 m² bâti, capacité 636 vacanciers, 197 emplacements, classé 4 étoiles. CA 2024: 267714€ / 2023: 342891€ / 2022: 944975€ ; Résultat net 2024: -91811€ / 2023: -296166€ / 2022: -89203€. EBE 2024: 30139€. BFR 2024: 633181€. LORMED non employeuse directement (3 CDI rattachés via ALPHA CAMPING OCCITANIE: Directeur camping + Assistant de direction + Employé entretien technique + 6 CDD). Cessation des paiements: 2025-10-20. Jugement publié BODACC: 2025-11-28. Date clôture: 30/09. Président: SAS ILO. Nantissement fonds de commerce 250000€ au profit Caisse d'Epargne Languedoc-Roussillon (24/04/2024). Bail commercial avec SCI C.H.A (propriétaire foncier, RCS 824145163) du 20/04/2017 (9 ans, échéance 30/10/2025). Procédures liées dans même groupe NEOCAMP: ILO, ALPHA CAMPING, ALPHA CAMPING OCCITANIE, LA GRANDE LISSE, L'ESCAPADE, SCI C.H.A. Autre dossier 30 du folder: SCI ADELE ET FIRMIN."
"30 - SCI ADELE ET FIRMIN","ADELE_FIRMIN","SCI ADELE ET FIRMIN","SCI","","","","","Société SCI - détention d'actifs immobiliers (à préciser via PDFs)","Redressement judiciaire","","Tribunal des Activités Économiques de Paris","Maître Hélène BOURBOULOUX (avec François RAYBAUD et Paul CHARREY)","SELARL FHBX","176 avenue Charles-de-Gaulle, 92200 Neuilly-sur-Seine","Maître Valérie LELOUP-THOMAS","SELAFA MJA","Monsieur Jean-François PONCET","2026-03-02","0","18","","Immobilier","SCI ADELE ET FIRMIN fait partie du dossier consolidé FHBX 'Foncière Melot Gouband / Affaire Balthazar' (26 entités). Bien immobilier rattaché : à compléter (cf. PDFs MUVICO non extraits >5MB pour description précise). MUVICO initiale : 800000€ ; MUVICO améliorée : 850000€. DLDO 02/03/2026 (DDO offres améliorées). 18 offres reçues. Voir CSV INSULA pour détail du portefeuille consolidé FHBX (26 entités)."
"31 - SAS ALPHA CAMPING OCCITANIE","31-OCCITANIE","ALPHA CAMPING OCCITANIE","SAS","550000","912368370","Chemin du Batardeau, 32300 Mirande","","Exploitation et gestion de campings, residences et villages de vacances, hotellerie de plein air (NAF 55.30Z)","Redressement judiciaire","2025-11-12","Tribunal des activites economiques de Paris","Maitre Maxime LANGET ; Maitre Lou FLECHARD","SELAS BL & ASSOCIES ; SCP CBF ASSOCIES","1 Bd Saint Germain 75005 Paris (BL & Associes) ; 41 rue de Liege 75008 Paris (CBF Associes)","Maitre Florian LACOUR ; Maitre Camille STEINER","SELAFA MJA ; SELARL ATHENA","Monsieur Franck MEYNAUD","2025-12-17","7","6","Filiale d'ALPHA CAMPING (793 853 128 RCS Paris) ; groupe NEOCAMP (faitiere ILO SAS 795 282 839 RCS Paris)","Hotellerie de plein air / campings","Date cessation paiements 20/10/2025. Jugement BODACC publie 28/11/2025. Procedure collective groupe NEOCAMP : ILO, ALPHA CAMPING, ALPHA CAMPING OCCITANIE, LA GRANDE LISSE, LORMED, L'ESCAPADE, SCI C.H.A. Exploite 3 campings : BARBEROUSSE (Route de l'Ayrolle 11430 Gruissan, SIRET 912368370 00025, DSP Office Tourisme Gruissan, franchise Camping Paradis), SOLEIL D'OC (Route de Guissan Narbonne Plage 11100, 4*, location-gerance avec SAS LORMED bailleur, locaux propriete SCI C.H.A.), ILE DU PORT. 7 salaries (5 BAR/SOC + 2 IDP). Greffe P202504400. Resultats : 2022 CA 0 RN -101339 ; 2023 CA 1967475 RN 1538 ; 2024 CA 2197445 RN -780305 (REX -531525). EBE 2023 +356768 / 2024 -101873. Difficultes : croissance non maitrisee, allocation inadaptee ressources, sous-performance saison 2024, frais siege disproportionnes. Greffe original Auch immat. 11/04/2022. P202504400.  Autre dossier 31 = CSA CONSULTING (analyse separement)."
"31 - SAS CSA CONSULTING","31-CSA","SAS CSA CONSULTING","SAS","","","","CSA Consulting","Conseil en banque de detail et assurance","Redressement judiciaire","","","Me Lou Flechard","SCP CBF Associes","","","","","","9","1","","Conseil / Cabinet de conseil specialise banque de detail et assurance","Cabinet de conseil specialise banque de detail et assurance depuis 30 ans, plus de 500 projets menes. Clients : Societe Generale, BNP Paribas, Groupama Gan Vie, HSBC, Oney Bank. 9 postes (6 consultants experimentes, 1 consultant, 1 DAF/DRH, 1 Directeur de mission/Resp dev). Mali de fusion incorporels 210K. Capitaux propres negatifs -1048K au 31/12/2025. 7 missions clients actives au 12/02/2026. PDF unique recu = offre Oaklen Consulting du 13/03/2026. Donnees societe et procedure non detaillees dans le PDF (offre seule, pas de jugement d'ouverture)."
"32 - SARL AJA","32-AJA","AJA","SARL","20000","530080514","7 rue Tronchet, 75008 Paris","Akrame","Restaurant gastronomique fondé en 2011 par le chef Akrame Benallal (cuisine française moderne, inventive, parfois moléculaire, ~30 couverts)","Redressement judiciaire","2025-11-27","Tribunal des activités économiques de Paris","Maître Jean-Baptiste Albertini","SELARL Detroit","","Maître Bernard Corre","SELARL Fides","","2026-01-09","11","1","","Restauration gastronomique","Jugement RJ publié au BODACC le 14/12/2025. CA 2022 1822910€ / 2023 1264402€ / 2024 1070480€. REX 2022 102981€ / 2023 -397840€ / 2024 -528917€. RN 2022 807443€ / 2023 -554733€ / 2024 -404103€. Capitaux propres au 31/12/2024 : -1905429€. Passif total > 4,5M€. Bail commercial conclu le 27/09/2018 (avenant 24/05/2023) avec POURTALES SARL (RCS Paris 453888745) sur locaux 7-9 rue Tronchet 75008. Prêt nanti sur fonds de commerce au bénéfice de la BNP. Plan de continuation non envisageable, appel d'offres lancé par l'AJ. DLDO initiale 09/01/2026 12h."
"32 - SAS associé unique SOPI","32-SOPI","SOPI","SAS à associé unique","","","28 rue Henry Monnier, 75009 Paris","Buvette","Exploitation fonds de commerce de restaurant/bar/brasserie (concept américain « Buvette » ouvert 2013-2014)","Redressement Judiciaire","2025-09-16","Tribunal des Activités Économiques de Paris","Maître Isabelle DIDIER","SELAS O3 PARTNERS","","Maître Yohann YANG-TING","SELARL MONTRAVERS-YANG-TING","Monsieur André BÉLARD","","6","1","","Restauration / bar / brasserie (South Pigalle)","Jugement publié au BODACC A n°20250189 annonce n°2711 du 02/10/2025. Modèle ""Buvette"" 7j/7 horaires larges devenu non rentable post-Covid (coûts d'exploitation élevés, télétravail, concurrence accrue South Pigalle, recettes décevantes JO 2024). Pertes ~40k€/an pendant 6 ans ont consommé les réserves. Données financières SOPI : CA 2024 986128€ / CA 2023 980578€ / CA 2022 937293€ ; RE 2024 -45038€ / 2023 -38563€ / 2022 -102715€ ; RN 2024 -45562€ / 2023 -40207€ / 2022 -106245€ ; CP 2024 -59267€ (négatifs) / 2023 -13705€ / 2022 26502€ ; Total bilan 2024 160193€ ; EBE 2024 -90857€. 6 salariés au total (plongeur + directeur de salle repris ; 3 salariés + 1 apprenti non repris). Effectif déduit : 2 repris + 4 licenciés non repris. Licence IV. Site : ilovebuvette.com / Instagram @buvetteparis."
"33 - SA SOCIETE NOUVELLE DU NOUVEL ECONOMISTE (dite S2NE)","","","","","","","","","","","","","","","","","","","","","","",""
"33 - SAS JEFFREY CAGNES PARIS","33-JEFFREY","JEFFREY CAGNES PARIS","SAS","10000","898627872","24 rue des Moines, 75017 Paris","JEFFREY CAGNES","Fabrication et commercialisation de pâtisserie, chocolaterie, confiserie, boulangerie, salon de thé et petite restauration","Redressement judiciaire","2025-09-24","Tribunal des Activités Économiques de Paris","Maître Johanna ROUSSELET","SCP ABITBOL & ROUSSELET","38 avenue Hoche, 75008 Paris","Maître Jean-Charles DEMORTIER","SELAFA MJA","","2026-03-31","30","5","","Pâtisserie / boulangerie / salon de thé","5 offres reçues. 4 établissements exploités : 73 rue Montorgueil 75002 (Boutique Montorgueil) ; 1 bd de la Madeleine 75008 ; 24 rue des Moines 75017 ; 11 rue Henri Barbusse 92300 Levallois-Perret. Marques ""Jeffrey Cagnes"" et ""Jeffrey Cagnes Paris"" propriété personnelle de Jeffrey Cagnes ; licence concédée à CONTICINI FRANCHISE (en liquidation judiciaire, RCS Bobigny 830 666 293) — résiliation contestée. Ancien mandataire social : Yoav Peretz (errances de gestion). DLDO 31/03/2026 12h00 en l'Étude de la SCP ABITBOL & ROUSSELET. Bail Rue des Moines : Foncière du Parc Monceau (RCS Paris 428 635 130). Bail Montorgueil : ELOGIE-SIEMP. Emprunt 204000€ Caisse d'Épargne Île-de-France. Suivi dossier : Louise Ten-Have et Célia Rébier (ABITBOL & ROUSSELET — réf. 260218)."
"34 - SAS COSA","34","SAS COSA VOSTRA","SAS à associé unique","148234.21","798459541","71-73 rue de Saussure, 75017 Paris","Cosa","Agence conseil digitale : stratégie digitale, communication, expérience utilisateur, solutions technologiques, e-commerce, production podcasts (Le Panier / Mediarama / Un Podcast De Goûts)","Redressement judiciaire","2025-12-10","Tribunal des Activités Économiques de Paris","Me Sandra Beladjine","SELARL BCM & Associés","9 rue de Grenelle, 75007 Paris","Me Stéphane Gorrias","SCP BTSG","M. Stéphane Catoire","2026-01-06","28 salariés + 1 alternant","7","COSA VOSTRA UK (Royaume-Uni) ; COSA VOSTRA Tunisie (filiale 100%)","Agences digitales / conseil","Nom commercial : Cosa. Associé actionnaire HORREA (34% depuis nov 2024). Podcast : Laurent KRETZ (Le Panier / Mediarama / Un Podcast De Goûts). Anciens dirigeants de fait/droit : Laurent KRETZ, François DESFOSSEZ, Kevin COUVET, Louis DUMOULIN. DLDO initialement mentionnée au 5 janv dans certains documents, au 6 janv dans d'autres — retenu : 6 janv 2026."
"34 - SAS LPC","34-LPC","LPC","SAS","64000","950445809","30 boulevard Louis Delage, Saint-Sylvain d'Anjou, 49480 Verrières-en-Anjou","LPC","Conditionnement, ensachage, transformation de fruits et légumes (filière pommes — pôle Val de Loire du groupe INNATIS)","Sauvegarde (demande de conversion en redressement judiciaire)","2025-09-29","Tribunal des activités économiques de Paris","Maître Marine PACE / Maître Paul-Henri AUDRAS","SELARL 2M&ASSOCIES / SELAS AJ UP","22 rue de l'Arcade 75008 Paris / 5 avenue de Messine 75008 Paris","Maître Valérie LELOUP-THOMAS / Maître Marie-Charlotte THIRION","SELAFA MJA / SELARL ATHENA","Monsieur WEHBI Joseph","2026-03-18","26 (13 CDI + 13 CDD)","4","Filiale du groupe INNATIS (détenue à 70,5% par INNATIS SAS et 12,50% par LVL POMANJOU)","Filière fruits / pommes — conditionnement / station fruitière","CA 31/07/2025 : 4326631€ / RE : -965347€ / RN : -905246€. 3 sites : Océane (Verrières-en-Anjou), La Chapelle (Aubrière à La Chapelle d'Aligné 72300 — terrain 27247m² + bâtiment industriel 5100m² valorisé 1,7M€), Ecoufflant. Lignes d'emballages VNC 2,5M€. Offre de reprise indivisible avec 10 autres sociétés du pôle Val de Loire INNATIS : LVL POMANJOU, SCICA POMANJOU, SCEA DE LA CHAUSSEE, SCEA DE LAUNAY, SCEA REINETTE D'ANJOU, SCEA DE VAULEARD, SCEA DE LA DENIOLAY, SCEA DE LA PLESSE, SCEA DE BEAUVALLON, CAVL. Juge-commissaire Wehbi Joseph (greffe P202503605). Inventaire commissaire-priseur SELARL KAPANDJI MORHANGE 16/10/2025. Offres reçues : 5 PDFs ; offre_03 et offre_04 sont strictement identiques (même Docusign envelope ID 79E2E104-8C9D-4609-8F02-D4928BF11AEE) — doublon technique."
"35 - SARL DME","35-DME","SARL DME","SARL","","925209926","72 rue Rambuteau, 75001 Paris","DONATIEN MAITRE ECLAIR","Restauration / boulangerie-patisserie (enseigne Donatien Maitre Eclair)","Redressement judiciaire avec mission d'assistance","2025-12-23","Tribunal des Activites Economiques de Paris","Maitre Isabelle DIDIER","SELAS SPE O3 PARTNERS","67 boulevard Lannes, 75116 Paris","Maitre Jerome PIERREL","SELAS ETUDE JP","Antoine GUINET","2026-02-02","1","3","","Restauration / Boulangerie-patisserie","Dossier greffe P202505061. Dirigeant : M. FEHR. Second AJ mentionne dans LOUTSA : Maitre Mounira BENHACINE-CHAMIEH (meme cabinet SELAS SPE O3 PARTNERS). Local 72 rue Rambuteau 75001 Paris + reference au bail 51 boulevard Sebastopol 75001 mentionnee par LOUTSA (SCI RAMBUTO bailleur). Nantissements Banque Postale pour 670310,46 EUR. Periode d'observation prolongee au 29/07/2026 (jugement TAE Lyon 27/01/2026 dans Kbis LOUTSA, sans lien). Capital social DME non communique dans les pieces."
